Year,Month,Day,0,1,2,3,4,5
2023,01,01,56,35,10,3,82,34
2023,01,02,61,98,22,71,79,64
2023,01,03,40,75,11,3,77,69
2023,01,04,51,81,37,35,25,19
2023,01,05,67,38,27,3,68,26
2023,01,06,93,41,38,1,71,72
2023,01,07,89,88,49,71,82,39
2023,01,08,19,13,22,86,75,73
2023,01,09,13,93,42,5,43,49
2023,01,10,80,55,95,7,70,98
2023,01,11,42,12,61,10,37,40
2023,01,12,56,88,21,13,7,67
2023,01,13,67,88,88,39,70,28
2023,01,14,81,49,58,66,46,56
2023,01,15,52,38,45,26,33,13
2023,01,16,28,62,22,90,65,74
2023,01,17,49,87,87,78,46,4
2023,01,18,32,71,84,76,90,5
2023,01,19,97,39,67,72,25,37
2023,01,20,81,78,41,11,61,21
2023,01,21,94,87,65,85,74,13
2023,01,22,5,75,23,72,93,10
2023,01,23,98,48,81,59,47,80
2023,01,24,13,59,14,27,19,79
2023,01,25,23,80,53,1,84,86
2023,01,26,51,11,69,10,88,31
2023,01,27,30,51,22,57,92,33
2023,01,28,73,17,79,84,76,57
2023,01,29,10,76,7,68,88,54
2023,01,30,78,51,30,26,73,37
2023,02,01,12,18,28,34,69,63
2023,02,02,24,36,11,38,64,92
2023,02,03,46,27,26,86,58,58
2023,02,04,4,54,45,68,11,89
2023,02,05,86,90,11,37,54,30
2023,02,06,55,23,51,52,82,40
2023,02,07,37,93,15,51,19,26
2023,02,08,64,76,88,61,81,12
2023,02,09,98,47,53,17,19,16
2023,02,10,41,48,71,99,12,47
2023,02,11,39,54,34,66,55,14
2023,02,12,82,68,4,69,25,89
2023,02,13,35,94,5,75,87,67
2023,02,14,88,78,52,67,29,78
2023,02,15,98,49,44,63,50,2
2023,02,16,57,74,34,47,93,28
2023,02,17,82,59,76,98,14,60
2023,02,18,57,8,73,51,45,9
2023,02,19,11,30,62,31,52,80
2023,02,20,50,63,100,84,74,82
2023,02,21,57,39,51,79,6,1
2023,02,22,51,15,60,2,3,36
2023,02,23,26,50,17,76,83,85
2023,02,24,79,16,63,76,42,40
2023,02,25,89,34,27,13,92,82
2023,02,26,59,2,55,48,18,79
2023,02,27,7,32,86,22,21,99
2023,02,28,48,9,89,44,56,58
2023,02,29,79,77,43,37,19,41
2023,02,30,78,51,1,47,11,27
2023,03,01,94,8,82,28,48,51
2023,03,02,15,15,7,98,81,25
2023,03,03,28,53,41,3,54,70
2023,03,04,56,93,32,91,57,33
2023,03,05,36,6,39,25,58,77
2023,03,06,69,61,21,23,19,85
2023,03,07,22,56,25,64,69,11
2023,03,08,72,1,39,87,87,60
2023,03,09,62,48,58,85,93,79
2023,03,10,33,91,63,92,7,24
2023,03,11,47,92,13,20,9,96
2023,03,12,93,29,3,75,29,85
2023,03,13,54,30,1,45,22,18
2023,03,14,9,60,2,54,9,33
2023,03,15,81,30,68,60,16,74
2023,03,16,8,13,58,13,12,97
2023,03,17,71,35,26,68,22,46
2023,03,18,56,56,9,54,28,46
2023,03,19,19,63,86,48,87,40
2023,03,20,37,88,35,81,47,63
2023,03,21,78,11,71,68,38,41
2023,03,22,80,71,75,80,85,79
2023,03,23,67,26,56,25,92,38
2023,03,24,65,14,53,30,63,65
2023,03,25,3,17,16,75,89,85
2023,03,26,74,36,34,50,45,8
2023,03,27,40,61,95,42,78,72
2023,03,28,41,67,43,57,47,67
2023,03,29,90,82,88,63,91,31
2023,03,30,2,76,49,94,98,70
2023,04,01,91,19,85,73,23,49
2023,04,02,13,51,77,74,77,96
2023,04,03,78,82,37,35,81,71
2023,04,04,33,71,94,57,81,30
2023,04,05,62,6,17,100,11,65
2023,04,06,68,45,36,52,22,18
2023,04,07,51,82,7,28,91,1
2023,04,08,27,91,87,77,28,60
2023,04,09,7,75,100,92,44,88
2023,04,10,10,25,56,30,47,42
2023,04,11,82,56,16,48,39,58
2023,04,12,25,14,44,38,36,72
2023,04,13,38,64,39,87,40,82
2023,04,14,96,2,31,57,30,83
2023,04,15,78,41,59,66,34,71
2023,04,16,14,26,19,95,65,74
2023,04,17,68,51,41,40,19,80
2023,04,18,96,34,63,64,97,93
2023,04,19,43,66,28,65,82,82
2023,04,20,40,28,89,24,66,65
2023,04,21,1,2,34,60,77,1
2023,04,22,95,73,43,20,12,43
2023,04,23,78,61,48,31,28,40
2023,04,24,51,88,31,91,65,83
2023,04,25,39,91,23,10,27,59
2023,04,26,22,13,72,19,94,74
2023,04,27,45,7,58,32,59,56
2023,04,28,79,55,99,27,9,67
2023,04,29,42,62,27,20,85,60
2023,04,30,36,87,30,75,86,91
2023,05,01,26,41,98,3,19,22
2023,05,02,60,27,65,77,15,50
2023,05,03,69,74,83,49,2,4
2023,05,04,22,11,49,19,95,91
2023,05,05,81,47,7,56,87,74
2023,05,06,88,68,28,89,74,41
2023,05,07,5,21,20,63,38,22
2023,05,08,29,5,64,53,46,13
2023,05,09,76,20,39,85,35,2
2023,05,10,16,28,86,60,22,27
2023,05,11,63,56,22,89,49,32
2023,05,12,69,36,36,84,7,26
2023,05,13,40,27,12,26,2,78
2023,05,14,77,31,41,62,48,48
2023,05,15,89,11,59,32,23,36
2023,05,16,14,76,40,10,85,48
2023,05,17,82,98,90,88,8,60
2023,05,18,69,26,15,65,51,25
2023,05,19,38,34,45,12,53,61
2023,05,20,76,90,89,39,89,95
2023,05,21,49,14,40,29,7,43
2023,05,22,37,74,29,62,57,75
2023,05,23,8,48,97,97,48,66
2023,05,24,90,76,58,8,79,64
2023,05,25,29,79,98,4,36,15
2023,05,26,35,48,78,75,80,44
2023,05,27,36,92,84,70,35,46
2023,05,28,19,66,17,70,60,53
2023,05,29,68,32,19,92,96,44
2023,05,30,72,99,40,79,99,22
2023,06,01,17,10,33,33,18,72
2023,06,02,39,95,35,41,68,35
2023,06,03,67,19,44,98,67,11
2023,06,04,5,50,73,64,68,47
2023,06,05,38,50,3,52,73,28
2023,06,06,51,34,95,66,60,33
2023,06,07,1,45,68,74,51,32
2023,06,08,83,82,62,30,31,73
2023,06,09,8,38,13,36,7,1
2023,06,10,33,62,66,2,24,58
2023,06,11,66,17,15,14,47,79
2023,06,12,12,56,68,96,70,30
2023,06,13,84,6,84,40,30,88
2023,06,14,32,28,10,9,20,37
2023,06,15,55,91,74,59,26,37
2023,06,16,84,47,53,69,5,21
2023,06,17,66,83,26,32,51,68
2023,06,18,1,12,84,23,61,73
2023,06,19,37,52,100,87,82,47
2023,06,20,69,30,37,97,4,23
2023,06,21,45,72,90,90,80,78
2023,06,22,40,97,80,9,31,63
2023,06,23,45,44,22,17,85,43
2023,06,24,2,13,30,56,50,74
2023,06,25,42,80,83,73,37,80
2023,06,26,2,77,48,8,54,15
2023,06,27,60,94,62,71,62,38
2023,06,28,2,56,87,47,45,71
2023,06,29,20,6,13,76,54,31
2023,06,30,40,83,31,11,69,27
2023,07,01,10,86,94,77,23,46
2023,07,02,30,51,50,88,7,5
2023,07,03,23,27,92,18,19,61
2023,07,04,62,73,97,54,36,39
2023,07,05,91,94,2,3,91,13
2023,07,06,63,67,35,42,96,12
2023,07,07,25,65,37,75,33,83
2023,07,08,79,83,21,49,72,31
