Year,Month,Day,0,1,2,3,4,5
2023,01,01,81,15,42,30,67,41
2023,01,02,37,57,78,59,10,80
2023,01,03,12,16,50,66,81,50
2023,01,04,64,50,83,76,9,86
2023,01,05,32,57,88,5,6,47
2023,01,06,2,2,95,90,85,32
2023,01,07,20,26,42,3,93,30
2023,01,08,47,19,24,2,20,96
2023,01,09,83,9,73,51,21,23
2023,01,10,71,66,71,69,16,29
2023,01,11,87,7,71,76,84,14
2023,01,12,86,94,34,46,43,71
2023,01,13,11,59,25,73,42,89
2023,01,14,20,82,53,17,60,36
2023,01,15,67,7,77,32,98,27
2023,01,16,28,41,74,53,40,94
2023,01,17,19,84,99,87,33,42
2023,01,18,5,77,69,40,59,11
2023,01,19,94,13,52,97,45,86
2023,01,20,45,58,65,48,12,3
2023,01,21,9,59,76,56,24,95
2023,01,22,53,77,33,76,10,28
2023,01,23,97,62,21,70,23,79
2023,01,24,6,18,55,96,67,92
2023,01,25,76,82,81,85,89,20
2023,01,26,56,80,36,52,78,15
2023,01,27,51,77,27,81,67,67
2023,01,28,64,1,15,12,73,20
2023,01,29,85,25,96,68,27,41
2023,01,30,24,89,11,34,96,24
2023,02,01,23,63,17,59,64,35
2023,02,02,19,64,16,49,53,23
2023,02,03,83,84,5,40,84,7
2023,02,04,45,55,94,14,60,22
2023,02,05,31,12,33,57,81,56
2023,02,06,15,45,11,100,36,99
2023,02,07,3,23,35,80,83,84
2023,02,08,3,42,16,45,47,58
2023,02,09,40,77,21,64,94,3
2023,02,10,21,55,41,4,61,77
2023,02,11,4,78,85,15,73,94
2023,02,12,6,40,58,10,85,78
2023,02,13,68,65,84,51,67,50
2023,02,14,10,66,17,11,16,87
2023,02,15,22,89,55,43,37,32
2023,02,16,91,33,100,61,32,72
2023,02,17,22,96,84,2,8,97
2023,02,18,3,55,68,40,57,66
2023,02,19,83,72,69,67,60,82
2023,02,20,20,10,66,47,19,26
2023,02,21,94,50,20,41,40,29
2023,02,22,15,28,27,34,80,27
2023,02,23,18,7,31,14,81,68
2023,02,24,72,45,42,89,3,52
2023,02,25,10,14,28,17,23,86
2023,02,26,36,49,17,44,5,43
2023,02,27,17,72,51,40,95,54
2023,02,28,10,34,87,23,95,89
2023,02,29,94,41,8,53,33,6
2023,02,30,100,62,47,43,28,71
2023,03,01,98,37,57,67,58,2
2023,03,02,56,62,14,18,71,71
2023,03,03,21,26,12,28,13,47
2023,03,04,73,70,28,8,11,67
2023,03,05,4,16,16,57,73,80
2023,03,06,60,64,69,73,83,47
2023,03,07,72,66,86,95,89,33
2023,03,08,38,89,33,61,5,76
2023,03,09,35,59,65,65,23,48
2023,03,10,27,78,62,56,99,13
2023,03,11,43,57,28,45,73,30
2023,03,12,62,69,89,100,28,41
2023,03,13,87,14,92,32,25,23
2023,03,14,11,53,89,32,43,95
2023,03,15,12,65,11,74,5,25
2023,03,16,23,54,80,53,86,30
2023,03,17,3,29,54,36,21,41
2023,03,18,48,41,22,5,67,95
2023,03,19,16,19,35,29,67,21
2023,03,20,53,96,19,7,50,28
2023,03,21,83,5,37,9,66,87
2023,03,22,56,10,13,56,22,67
2023,03,23,34,93,57,22,83,38
2023,03,24,20,90,46,2,62,22
2023,03,25,56,70,5,67,5,30
2023,03,26,66,41,13,28,43,55
2023,03,27,15,21,55,4,96,50
2023,03,28,21,34,18,45,27,77
2023,03,29,59,79,90,96,14,85
2023,03,30,56,5,6,4,8,41
2023,04,01,17,60,62,41,32,92
2023,04,02,29,75,33,64,69,97
2023,04,03,50,9,65,71,17,31
2023,04,04,1,85,96,55,74,16
2023,04,05,15,16,73,41,57,100
2023,04,06,26,25,91,37,30,45
2023,04,07,44,7,69,57,18,42
2023,04,08,95,53,6,82,1,24
2023,04,09,82,39,93,57,49,49
2023,04,10,34,39,57,36,79,63
2023,04,11,2,58,85,36,23,51
2023,04,12,40,63,51,82,43,97
2023,04,13,32,71,96,42,98,98
2023,04,14,85,79,28,14,81,35
2023,04,15,89,87,100,63,71,23
2023,04,16,15,3,4,4,100,62
2023,04,17,71,23,92,16,61,50
2023,04,18,79,33,85,66,50,40
2023,04,19,38,67,34,24,48,6
2023,04,20,3,39,57,84,42,14
2023,04,21,96,65,45,73,24,93
2023,04,22,81,39,33,48,50,58
2023,04,23,77,49,94,10,21,61
2023,04,24,22,24,97,62,48,82
2023,04,25,95,11,64,52,11,65
2023,04,26,29,95,33,82,56,26
2023,04,27,49,48,76,55,25,11
2023,04,28,19,29,82,63,51,44
2023,04,29,65,61,5,28,28,49
2023,04,30,43,33,92,39,100,52
2023,05,01,34,17,44,22,91,58
2023,05,02,47,26,3,96,21,53
2023,05,03,53,64,92,77,42,46
2023,05,04,37,99,23,86,66,92
2023,05,05,72,5,4,79,21,13
2023,05,06,53,68,53,12,3,5
2023,05,07,83,21,5,67,84,60
2023,05,08,40,10,84,27,98,34
2023,05,09,9,68,8,99,64,38
2023,05,10,74,67,95,11,24,27
2023,05,11,22,1,24,69,49,31
2023,05,12,81,43,17,100,22,24
2023,05,13,24,63,4,48,46,53
2023,05,14,16,94,78,95,6,97
2023,05,15,36,34,38,62,11,69
2023,05,16,76,13,28,61,30,51
2023,05,17,97,74,99,96,2,50
2023,05,18,35,34,98,1,81,96
2023,05,19,93,66,90,47,45,15
2023,05,20,65,5,51,71,98,83
2023,05,21,55,43,61,6,38,89
2023,05,22,16,95,40,82,41,53
2023,05,23,65,29,61,79,100,55
2023,05,24,22,22,78,97,49,56
2023,05,25,59,68,93,82,46,81
2023,05,26,80,27,43,56,58,58
2023,05,27,98,13,8,3,94,98
2023,05,28,37,80,30,67,63,86
2023,05,29,60,33,63,79,2,29
2023,05,30,55,86,81,83,5,59
2023,06,01,83,56,15,68,80,42
2023,06,02,38,13,14,66,98,71
2023,06,03,50,67,70,46,29,97
2023,06,04,60,37,8,21,23,64
2023,06,05,76,51,5,4,6,44
2023,06,06,93,8,53,36,35,19
2023,06,07,77,51,89,28,33,24
2023,06,08,93,66,9,67,70,26
2023,06,09,17,3,44,74,89,60
2023,06,10,87,50,15,40,52,99
2023,06,11,72,19,84,16,76,93
2023,06,12,36,48,67,24,94,79
2023,06,13,22,53,66,19,60,93
2023,06,14,47,18,34,67,34,1
2023,06,15,9,50,34,98,57,92
2023,06,16,58,79,95,87,95,7
2023,06,17,61,48,28,53,20,54
2023,06,18,91,26,78,37,2,19
2023,06,19,93,97,29,74,46,37
2023,06,20,90,58,68,92,17,73
2023,06,21,64,66,97,81,100,29
2023,06,22,36,7,88,63,15,60
2023,06,23,88,72,61,50,73,64
2023,06,24,3,98,64,58,56,97
2023,06,25,14,41,32,87,43,60
2023,06,26,13,56,30,82,43,44
2023,06,27,2,49,42,92,35,61
2023,06,28,95,52,74,16,45,18
2023,06,29,1,96,75,100,24,83
2023,06,30,28,55,12,24,74,69
2023,07,01,18,45,90,49,45,3
2023,07,02,34,57,88,23,9,31
2023,07,03,67,78,87,13,82,92
2023,07,04,69,11,97,54,56,68
2023,07,05,73,35,72,52,73,86
2023,07,06,77,20,20,91,44,10
2023,07,07,42,28,4,19,36,6
2023,07,08,71,23,4,25,100,63
2023,07,09,17,63,44,78,51,81
2023,07,10,3,97,72,69,62,1
2023,07,11,43,10,52,46,12,43
2023,07,12,74,34,100,66,38,92
2023,07,13,9,95,66,26,71,47
2023,07,14,87,38,53,67,69,14
2023,07,15,53,7,94,52,43,85
2023,07,16,100,60,20,85,68,54
2023,07,17,52,4,32,32,27,52
2023,07,18,71,45,37,5,90,48
2023,07,19,45,33,7,31,16,10
2023,07,20,74,42,78,15,6,87
2023,07,21,83,44,82,43,29,69
2023,07,22,67,87,74,84,2,99
2023,07,23,50,83,29,81,65,15
2023,07,24,29,48,3,70,55,11
2023,07,25,12,2,60,91,36,44
2023,07,26,68,47,66,40,11,22
2023,07,27,71,24,5,53,44,77
2023,07,28,90,28,15,85,60,11
2023,07,29,60,50,61,53,73,58
2023,07,30,67,29,73,44,22,60
2023,08,01,84,93,79,31,55,89
2023,08,02,68,20,26,35,51,11
2023,08,03,32,41,16,38,35,27
2023,08,04,89,60,12,87,21,22
