Year,Month,Day,0,1,2,3,4,5
2023,01,01,35,88,16,92,41,100
2023,01,02,38,17,45,61,39,66
2023,01,03,59,5,88,29,62,18
2023,01,04,60,69,82,46,7,1
2023,01,05,78,18,35,37,15,27
2023,01,06,55,60,57,11,55,24
2023,01,07,69,68,6,57,54,58
2023,01,08,4,73,6,88,54,15
2023,01,09,93,3,8,29,63,60
2023,01,10,68,59,10,14,85,74
2023,01,11,23,54,92,41,54,12
2023,01,12,82,26,80,67,1,38
2023,01,13,98,81,42,60,32,91
2023,01,14,71,94,3,80,45,48
2023,01,15,100,21,81,87,60,56
2023,01,16,1,91,35,80,13,33
2023,01,17,9,91,14,30,31,48
2023,01,18,45,63,60,60,26,20
2023,01,19,35,85,10,29,81,100
2023,01,20,72,57,7,94,66,72
2023,01,21,87,21,27,29,7,47
2023,01,22,64,87,15,55,29,51
2023,01,23,93,78,23,38,15,21
2023,01,24,21,47,62,4,16,49
2023,01,25,26,37,55,1,2,51
2023,01,26,43,22,34,15,81,70
2023,01,27,68,61,58,53,92,52
2023,01,28,19,84,11,84,23,38
2023,01,29,65,94,37,99,88,51
2023,01,30,18,94,13,21,42,67
2023,02,01,26,67,39,18,20,40
2023,02,02,5,65,33,59,18,100
2023,02,03,57,63,10,63,92,6
2023,02,04,8,88,72,27,30,85
2023,02,05,61,59,69,43,84,16
2023,02,06,38,46,71,66,3,32
2023,02,07,3,47,76,36,98,86
2023,02,08,48,92,84,82,17,43
2023,02,09,76,72,33,66,91,73
2023,02,10,17,50,43,76,25,52
2023,02,11,78,70,98,99,96,31
2023,02,12,47,20,78,58,10,42
2023,02,13,24,7,77,51,61,42
2023,02,14,37,36,80,55,4,10
2023,02,15,39,31,23,25,33,74
2023,02,16,15,74,12,19,17,26
2023,02,17,45,80,41,7,34,57
2023,02,18,88,9,22,32,93,3
2023,02,19,46,5,6,7,28,14
2023,02,20,67,87,51,77,90,66
2023,02,21,58,85,72,36,28,21
2023,02,22,56,82,3,17,63,87
2023,02,23,43,28,9,47,32,3
2023,02,24,37,66,78,24,18,52
2023,02,25,21,37,81,29,86,43
2023,02,26,96,80,47,32,57,18
2023,02,27,90,79,93,66,97,34
2023,02,28,43,12,74,69,84,39
2023,02,29,7,24,25,77,33,76
2023,02,30,85,77,84,10,25,88
2023,03,01,50,39,93,63,94,53
2023,03,02,52,45,3,22,42,75
2023,03,03,91,60,39,9,47,58
2023,03,04,47,30,52,91,84,96
2023,03,05,3,3,55,10,33,73
2023,03,06,17,2,86,89,92,89
2023,03,07,89,17,66,47,98,63
2023,03,08,11,33,4,76,41,21
2023,03,09,92,48,92,60,21,67
2023,03,10,94,23,10,58,52,23
2023,03,11,64,99,68,14,14,24
2023,03,12,95,68,39,30,67,5
2023,03,13,24,28,91,3,51,37
2023,03,14,49,45,44,51,68,75
2023,03,15,85,53,76,75,92,7
2023,03,16,75,74,77,90,71,48
2023,03,17,29,29,99,12,54,93
2023,03,18,5,71,29,94,29,71
2023,03,19,49,19,67,91,90,99
2023,03,20,89,9,95,77,41,31
2023,03,21,22,19,47,59,72,46
2023,03,22,71,7,35,58,26,16
2023,03,23,20,98,64,76,71,58
2023,03,24,22,57,31,38,29,55
2023,03,25,71,97,69,60,29,34
2023,03,26,48,32,24,77,16,93
2023,03,27,60,51,9,70,72,27
2023,03,28,52,57,35,83,86,4
2023,03,29,64,99,80,59,59,88
2023,03,30,61,65,76,18,11,6
2023,04,01,67,7,24,37,30,60
2023,04,02,71,22,100,73,54,57
2023,04,03,75,93,8,67,25,99
2023,04,04,57,44,7,11,28,4
2023,04,05,10,15,93,77,27,41
2023,04,06,90,13,4,93,52,91
2023,04,07,51,11,44,17,32,24
2023,04,08,99,47,70,67,53,37
2023,04,09,97,78,24,71,44,99
2023,04,10,33,51,94,58,79,49
2023,04,11,93,83,79,29,54,27
2023,04,12,60,31,16,46,54,50
2023,04,13,52,37,2,70,20,13
2023,04,14,33,93,10,24,5,6
2023,04,15,95,68,91,24,36,12
2023,04,16,17,10,59,97,100,70
2023,04,17,71,77,13,92,60,94
2023,04,18,53,42,58,74,7,17
2023,04,19,81,75,20,47,19,76
2023,04,20,80,65,39,70,96,72
2023,04,21,37,4,23,80,42,100
2023,04,22,41,24,46,21,19,80
2023,04,23,80,45,93,4,55,57
2023,04,24,38,11,10,99,98,94
2023,04,25,98,84,20,75,51,67
2023,04,26,95,52,29,80,93,54
2023,04,27,28,57,60,10,94,93
2023,04,28,15,25,71,76,9,59
2023,04,29,79,70,61,79,42,41
2023,04,30,98,63,44,14,23,2
2023,05,01,75,25,32,30,5,85
2023,05,02,87,17,82,22,55,30
2023,05,03,20,52,38,60,59,3
2023,05,04,61,26,49,51,86,19
2023,05,05,96,43,65,68,49,16
2023,05,06,60,39,7,67,71,52
2023,05,07,95,63,9,10,71,82
2023,05,08,74,92,72,37,48,74
2023,05,09,10,81,98,77,82,15
2023,05,10,57,1,99,16,95,11
2023,05,11,2,62,41,12,82,57
2023,05,12,91,46,79,51,4,17
2023,05,13,31,13,68,79,64,52
2023,05,14,27,18,94,38,26,1
2023,05,15,33,62,19,31,22,82
2023,05,16,71,6,25,98,37,93
2023,05,17,96,6,95,15,22,3
2023,05,18,63,64,93,81,11,37
2023,05,19,73,5,35,69,89,41
2023,05,20,47,54,80,76,15,14
2023,05,21,31,40,29,29,12,11
2023,05,22,86,84,39,3,75,100
2023,05,23,60,76,22,30,68,84
2023,05,24,36,75,68,12,40,63
2023,05,25,12,21,62,80,98,58
2023,05,26,86,52,21,51,50,76
2023,05,27,39,75,68,1,16,26
2023,05,28,19,44,62,63,65,45
2023,05,29,21,30,84,92,55,87
2023,05,30,96,28,11,44,59,33
2023,06,01,98,89,53,45,92,5
2023,06,02,100,50,51,10,12,72
2023,06,03,5,73,47,41,41,7
2023,06,04,4,73,100,40,21,34
2023,06,05,13,86,33,25,25,94
2023,06,06,51,55,45,20,19,76
2023,06,07,43,10,46,48,84,72
2023,06,08,86,97,3,12,31,16
2023,06,09,17,14,35,50,16,1
2023,06,10,89,39,88,88,11,80
2023,06,11,31,95,83,26,28,81
2023,06,12,29,84,17,86,87,23
2023,06,13,32,16,18,69,33,85
2023,06,14,5,92,40,99,75,20
2023,06,15,40,66,13,33,37,19
2023,06,16,92,28,10,40,55,52
2023,06,17,47,99,88,37,100,70
2023,06,18,22,51,99,32,79,56
2023,06,19,23,3,100,82,92,69
2023,06,20,52,9,59,59,46,57
2023,06,21,62,72,71,15,87,45
2023,06,22,36,72,38,40,7,11
2023,06,23,87,93,55,65,69,57
2023,06,24,50,31,62,96,72,82
2023,06,25,26,52,18,63,62,2
2023,06,26,53,16,75,35,80,24
2023,06,27,42,19,24,54,37,26
2023,06,28,81,20,97,4,49,50
2023,06,29,9,96,76,26,43,14
2023,06,30,98,56,91,54,55,5
2023,07,01,31,64,84,99,89,53
2023,07,02,68,15,7,19,51,19
2023,07,03,35,70,87,69,14,100
2023,07,04,67,68,71,20,11,28
2023,07,05,42,1,44,13,50,65
2023,07,06,65,47,79,46,78,75
2023,07,07,33,88,81,97,68,64
2023,07,08,87,29,75,8,45,35
2023,07,09,7,24,36,99,3,86
2023,07,10,44,38,13,97,33,68
2023,07,11,99,72,88,83,33,57
2023,07,12,9,59,65,74,60,82
2023,07,13,24,50,19,37,28,85
2023,07,14,31,27,26,19,41,31
2023,07,15,83,58,42,34,76,38
2023,07,16,83,64,31,82,100,81
2023,07,17,2,4,34,8,31,1
2023,07,18,33,14,52,97,37,8
2023,07,19,16,87,65,33,75,1
2023,07,20,47,4,15,36,3,16
2023,07,21,66,5,35,69,14,99
2023,07,22,51,22,69,27,98,93
2023,07,23,87,11,95,20,63,37
2023,07,24,69,76,65,2,41,2
2023,07,25,44,69,91,73,39,41
2023,07,26,1,32,29,10,18,45
2023,07,27,52,9,91,11,3,85
2023,07,28,45,26,42,44,72,58
