Year,Month,Day,0,1,2,3,4,5
2023,01,01,57,34,59,47,83,51
2023,01,02,85,73,24,18,43,56
2023,01,03,6,60,6,39,6,19
2023,01,04,38,79,33,39,21,73
2023,01,05,55,39,10,85,75,14
2023,01,06,33,13,49,36,73,70
2023,01,07,90,22,17,96,17,88
2023,01,08,18,66,83,35,7,7
2023,01,09,67,59,95,27,90,95
2023,01,10,20,26,28,89,68,85
2023,01,11,92,63,70,68,12,48
2023,01,12,65,37,76,52,80,46
2023,01,13,1,97,86,38,28,43
2023,01,14,13,69,83,62,71,6
2023,01,15,93,95,38,90,78,68
2023,01,16,18,9,73,85,39,20
2023,01,17,98,20,16,81,100,24
2023,01,18,55,54,100,25,42,43
2023,01,19,32,17,76,17,53,24
2023,01,20,62,67,55,99,23,18
2023,01,21,41,55,45,99,58,10
2023,01,22,68,55,52,30,43,81
2023,01,23,75,26,81,27,39,54
2023,01,24,98,82,81,82,97,88
2023,01,25,47,15,6,67,4,66
2023,01,26,74,19,47,42,33,4
2023,01,27,4,99,57,31,30,68
2023,01,28,48,25,29,8,88,89
2023,01,29,78,55,28,64,75,39
2023,01,30,65,44,33,61,79,71
2023,02,01,86,97,80,98,7,19
2023,02,02,33,23,4,54,13,57
2023,02,03,7,83,37,89,77,71
2023,02,04,42,23,97,26,40,86
2023,02,05,29,43,77,31,81,38
2023,02,06,19,5,54,69,75,14
2023,02,07,67,46,45,88,94,81
2023,02,08,78,25,22,57,82,6
2023,02,09,41,86,93,75,70,7
2023,02,10,61,22,4,49,67,91
2023,02,11,47,75,83,74,70,18
2023,02,12,48,77,37,69,79,86
2023,02,13,16,68,86,11,33,69
2023,02,14,30,96,42,90,63,46
2023,02,15,36,73,27,54,7,100
2023,02,16,83,1,70,89,97,60
2023,02,17,11,11,54,92,6,88
2023,02,18,54,18,29,28,97,99
2023,02,19,61,6,38,88,88,71
2023,02,20,94,53,59,43,46,76
2023,02,21,2,79,67,15,56,16
2023,02,22,93,54,99,85,92,77
2023,02,23,18,20,18,52,93,53
2023,02,24,62,88,24,78,26,2
2023,02,25,22,60,5,77,13,22
2023,02,26,47,15,75,56,31,82
2023,02,27,16,50,9,47,31,39
2023,02,28,100,48,86,48,35,2
2023,02,29,25,28,58,87,63,42
2023,02,30,63,14,99,86,5,7
2023,03,01,49,3,71,61,1,32
2023,03,02,30,82,69,47,36,45
2023,03,03,76,10,97,57,48,49
2023,03,04,25,93,78,67,31,95
2023,03,05,30,47,6,61,15,38
2023,03,06,69,63,82,21,48,21
2023,03,07,78,16,84,90,84,96
2023,03,08,66,76,7,8,57,13
2023,03,09,81,13,49,10,94,24
2023,03,10,70,65,49,94,87,80
2023,03,11,56,86,25,17,87,80
2023,03,12,89,28,99,82,40,64
2023,03,13,6,99,60,84,5,85
2023,03,14,69,46,72,76,82,40
2023,03,15,91,30,15,95,1,3
2023,03,16,80,60,50,87,4,52
2023,03,17,48,32,95,16,89,79
2023,03,18,99,53,45,70,15,11
2023,03,19,20,73,41,5,28,80
2023,03,20,23,37,16,8,91,11
2023,03,21,48,55,87,89,54,8
2023,03,22,57,11,64,10,39,22
2023,03,23,20,51,44,95,66,35
2023,03,24,61,87,72,98,62,98
2023,03,25,48,57,100,43,13,97
2023,03,26,45,13,97,1,21,38
2023,03,27,24,68,45,17,66,80
2023,03,28,66,43,66,39,26,35
2023,03,29,72,21,25,61,95,100
2023,03,30,10,69,19,60,20,50
2023,04,01,50,23,21,52,83,37
2023,04,02,33,89,9,89,29,80
2023,04,03,3,97,80,3,7,51
2023,04,04,25,39,81,26,58,55
2023,04,05,96,67,29,95,27,52
2023,04,06,71,37,38,59,80,87
2023,04,07,16,5,6,48,10,32
2023,04,08,86,40,67,1,16,13
2023,04,09,23,48,57,12,66,71
2023,04,10,26,64,99,60,34,31
2023,04,11,17,79,69,83,45,32
2023,04,12,94,9,45,42,14,37
2023,04,13,95,46,68,68,92,57
2023,04,14,39,22,56,87,50,63
2023,04,15,79,65,33,7,65,11
2023,04,16,91,92,28,68,15,46
2023,04,17,74,19,22,29,34,76
2023,04,18,8,10,52,33,14,49
2023,04,19,74,24,80,88,41,79
2023,04,20,9,26,80,36,18,25
2023,04,21,50,49,81,59,76,74
2023,04,22,70,7,4,75,68,75
2023,04,23,63,24,53,66,98,31
2023,04,24,76,73,65,26,20,2
2023,04,25,98,95,26,90,71,86
2023,04,26,62,24,37,27,57,25
2023,04,27,92,16,59,34,45,69
2023,04,28,23,30,47,76,16,37
2023,04,29,93,13,63,6,67,53
2023,04,30,2,89,80,2,81,72
2023,05,01,32,89,92,43,67,74
2023,05,02,36,46,10,68,81,81
2023,05,03,78,100,31,5,84,74
2023,05,04,70,48,81,68,7,25
2023,05,05,17,13,78,28,76,76
2023,05,06,25,60,85,56,74,34
2023,05,07,15,73,55,22,69,76
2023,05,08,77,54,21,94,47,68
2023,05,09,66,25,29,67,17,74
2023,05,10,28,56,4,97,52,34
2023,05,11,60,43,59,5,66,78
2023,05,12,80,21,49,41,7,90
2023,05,13,9,82,63,16,3,89
2023,05,14,30,63,68,95,83,59
2023,05,15,38,67,7,1,42,52
2023,05,16,2,66,66,37,18,78
2023,05,17,63,24,57,53,11,4
2023,05,18,64,50,83,3,25,58
2023,05,19,17,27,28,56,94,9
2023,05,20,66,51,80,13,77,27
2023,05,21,61,39,38,41,35,34
2023,05,22,52,21,35,45,30,18
2023,05,23,85,64,81,95,12,3
2023,05,24,41,8,59,11,11,74
2023,05,25,89,10,2,41,47,11
2023,05,26,87,53,91,37,20,93
2023,05,27,4,86,58,52,48,55
2023,05,28,78,50,13,68,8,44
2023,05,29,3,44,8,9,58,44
2023,05,30,54,29,70,93,99,7
2023,06,01,58,19,19,20,32,97
2023,06,02,89,49,77,2,40,91
2023,06,03,24,22,93,33,90,64
2023,06,04,64,86,44,65,35,32
2023,06,05,29,2,3,94,65,19
2023,06,06,70,86,2,45,74,35
2023,06,07,95,55,4,35,1,35
2023,06,08,53,14,77,22,1,81
2023,06,09,12,97,47,10,22,2
2023,06,10,95,13,38,13,80,6
2023,06,11,65,77,56,91,4,70
2023,06,12,67,94,37,50,67,82
2023,06,13,59,43,60,47,73,52
2023,06,14,47,53,95,72,73,28
2023,06,15,75,7,76,64,46,28
2023,06,16,29,97,44,22,1,22
2023,06,17,76,50,22,47,72,41
2023,06,18,50,39,55,12,20,55
2023,06,19,25,42,76,6,1,49
2023,06,20,9,63,12,35,49,89
2023,06,21,9,39,10,92,20,87
2023,06,22,10,75,61,56,82,44
2023,06,23,100,52,34,98,16,35
2023,06,24,26,51,87,66,30,41
2023,06,25,46,3,34,61,48,39
2023,06,26,34,77,37,6,43,61
2023,06,27,79,2,21,91,87,60
2023,06,28,63,56,73,100,58,63
2023,06,29,11,59,40,75,56,86
2023,06,30,15,17,100,15,91,55
