Year,Month,Day,0,1,2,3,4,5
2023,01,01,62,99,58,59,68,53
2023,01,02,7,8,63,9,62,90
2023,01,03,17,11,44,13,84,43
2023,01,04,60,36,88,20,84,80
2023,01,05,44,53,46,18,44,5
2023,01,06,76,57,75,86,43,58
2023,01,07,7,48,8,74,20,36
2023,01,08,73,86,98,3,89,89
2023,01,09,31,80,1,29,90,86
2023,01,10,92,18,19,98,69,30
2023,01,11,89,63,19,6,71,53
2023,01,12,37,36,72,85,78,54
2023,01,13,54,28,58,58,17,31
2023,01,14,4,16,71,49,54,37
2023,01,15,73,65,98,61,85,75
2023,01,16,7,48,21,36,93,38
2023,01,17,6,19,49,17,69,58
2023,01,18,99,28,79,13,21,61
2023,01,19,60,8,28,12,65,67
2023,01,20,39,88,35,56,15,88
2023,01,21,51,64,16,51,53,53
2023,01,22,5,45,44,31,53,79
2023,01,23,99,1,1,53,29,82
2023,01,24,11,51,84,38,41,79
2023,01,25,43,44,54,45,52,42
2023,01,26,66,21,47,33,100,46
2023,01,27,66,37,24,52,96,21
2023,01,28,86,90,29,59,43,58
2023,01,29,5,63,68,33,28,53
2023,01,30,2,55,61,90,60,63
2023,02,01,28,92,35,57,46,91
2023,02,02,80,66,86,73,8,5
2023,02,03,25,83,49,82,5,88
2023,02,04,8,3,99,63,57,20
2023,02,05,35,32,100,83,4,56
2023,02,06,5,42,92,19,68,66
2023,02,07,40,60,39,61,54,46
2023,02,08,91,12,92,83,5,21
2023,02,09,44,90,41,17,87,52
2023,02,10,2,80,8,14,67,3
2023,02,11,87,85,27,80,21,60
2023,02,12,22,9,71,63,95,68
2023,02,13,26,91,4,40,9,16
2023,02,14,26,91,48,96,83,82
2023,02,15,14,53,63,20,27,3
2023,02,16,41,64,91,25,11,11
2023,02,17,60,54,19,7,42,56
2023,02,18,93,70,89,89,14,49
2023,02,19,35,67,3,43,71,8
2023,02,20,95,67,22,59,4,84
2023,02,21,60,4,41,61,4,26
2023,02,22,36,31,18,33,70,52
2023,02,23,31,98,100,82,11,43
2023,02,24,11,72,96,85,53,27
2023,02,25,24,30,88,37,13,93
2023,02,26,98,74,93,53,76,59
2023,02,27,39,43,68,83,75,21
2023,02,28,22,100,31,71,52,57
2023,02,29,8,14,56,33,56,74
2023,02,30,78,97,34,80,27,19
2023,03,01,23,5,2,31,97,56
2023,03,02,57,18,4,23,47,80
2023,03,03,19,91,15,83,17,46
2023,03,04,90,12,14,78,17,88
2023,03,05,8,44,18,53,77,85
2023,03,06,34,36,53,53,57,60
2023,03,07,38,70,89,48,16,88
2023,03,08,52,57,92,39,60,44
2023,03,09,22,28,83,11,14,75
2023,03,10,48,28,9,32,33,1
2023,03,11,27,64,65,97,75,43
2023,03,12,38,89,38,51,72,89
2023,03,13,78,50,10,61,82,35
2023,03,14,99,73,49,8,100,31
2023,03,15,22,57,26,66,22,6
2023,03,16,61,61,27,41,52,48
2023,03,17,64,55,14,71,42,36
2023,03,18,83,90,25,63,60,12
2023,03,19,62,63,99,80,97,11
2023,03,20,97,3,32,59,47,78
2023,03,21,100,31,76,7,85,44
2023,03,22,70,50,92,38,76,56
2023,03,23,47,34,97,87,20,21
2023,03,24,25,32,78,42,5,30
2023,03,25,97,73,66,39,44,42
2023,03,26,79,17,42,18,93,90
2023,03,27,78,52,59,50,62,44
2023,03,28,49,39,4,86,52,14
2023,03,29,78,65,61,87,60,45
2023,03,30,92,53,7,20,77,41
2023,04,01,98,1,33,60,75,49
2023,04,02,55,55,74,41,100,57
2023,04,03,86,83,32,71,63,63
2023,04,04,14,93,70,96,23,97
2023,04,05,61,5,39,30,30,60
2023,04,06,4,7,75,19,53,35
2023,04,07,96,12,84,78,33,81
2023,04,08,21,33,69,71,55,89
2023,04,09,99,46,4,38,18,65
2023,04,10,11,69,58,24,2,39
2023,04,11,62,100,41,79,50,55
2023,04,12,30,44,19,77,49,51
2023,04,13,36,83,44,48,16,31
2023,04,14,99,45,47,38,99,71
2023,04,15,31,20,94,90,28,52
2023,04,16,12,57,99,15,28,5
2023,04,17,42,51,5,17,55,6
2023,04,18,29,35,57,69,4,94
2023,04,19,11,93,24,82,75,27
2023,04,20,86,50,13,60,51,92
2023,04,21,93,84,14,50,14,93
2023,04,22,36,66,1,81,64,2
2023,04,23,71,70,61,66,70,11
2023,04,24,52,31,42,79,58,85
2023,04,25,93,19,64,69,62,87
2023,04,26,64,9,82,93,58,47
2023,04,27,37,26,28,2,55,96
2023,04,28,70,62,68,17,97,43
2023,04,29,77,31,10,26,51,46
2023,04,30,31,91,24,50,65,23
2023,05,01,86,54,7,95,30,86
2023,05,02,72,28,22,64,89,99
2023,05,03,64,10,67,98,81,98
2023,05,04,46,37,100,54,47,8
2023,05,05,39,64,34,93,32,40
2023,05,06,49,97,95,23,64,8
2023,05,07,3,75,18,48,29,27
2023,05,08,83,30,66,33,40,18
2023,05,09,43,76,93,42,13,34
2023,05,10,8,92,49,68,80,84
2023,05,11,26,28,63,13,41,79
2023,05,12,57,84,41,40,22,10
2023,05,13,72,8,72,17,22,86
2023,05,14,16,90,94,22,83,15
2023,05,15,56,11,2,1,81,46
2023,05,16,50,56,25,26,88,70
2023,05,17,77,98,48,49,71,6
2023,05,18,78,39,36,97,79,17
2023,05,19,95,10,47,20,39,87
2023,05,20,71,18,34,82,43,42
2023,05,21,82,26,22,37,90,76
2023,05,22,79,92,77,72,24,23
2023,05,23,68,24,38,53,71,92
2023,05,24,45,78,30,52,10,80
2023,05,25,59,17,68,62,20,20
2023,05,26,75,27,55,66,99,34
2023,05,27,20,66,4,19,20,16
2023,05,28,62,99,37,48,60,88
2023,05,29,37,75,9,90,56,88
2023,05,30,75,3,78,40,65,21
2023,06,01,38,16,45,54,94,50
