Year,Month,Day,0,1,2,3,4,5
2023,01,01,87,64,85,59,43,4
2023,01,02,34,24,17,76,5,14
2023,01,03,67,86,94,1,94,100
2023,01,04,16,56,17,23,75,87
2023,01,05,42,62,34,49,21,10
2023,01,06,73,97,85,89,31,34
2023,01,07,18,64,23,22,60,89
2023,01,08,65,55,64,20,54,26
2023,01,09,51,10,77,43,47,90
2023,01,10,11,76,13,2,34,3
2023,01,11,62,14,2,66,77,67
2023,01,12,7,42,22,30,35,31
2023,01,13,72,53,26,65,67,70
2023,01,14,67,36,26,87,96,94
2023,01,15,87,6,98,68,5,53
2023,01,16,3,6,98,19,22,43
2023,01,17,75,37,100,98,11,99
2023,01,18,98,42,10,67,76,55
2023,01,19,67,31,52,33,33,14
2023,01,20,41,40,51,22,86,30
2023,01,21,42,56,63,81,22,36
2023,01,22,58,60,73,43,4,51
2023,01,23,87,24,42,16,54,65
2023,01,24,72,84,44,9,25,26
2023,01,25,29,12,6,65,49,41
2023,01,26,81,3,42,53,88,48
2023,01,27,11,58,32,60,92,47
2023,01,28,91,35,46,93,68,43
2023,01,29,78,12,78,72,19,36
2023,01,30,47,37,15,52,83,37
2023,02,01,18,74,95,22,49,20
2023,02,02,29,17,44,45,99,78
2023,02,03,64,88,37,55,14,27
2023,02,04,11,31,35,23,86,85
2023,02,05,87,55,58,23,77,69
2023,02,06,14,14,28,70,79,9
2023,02,07,82,61,13,37,73,42
2023,02,08,98,12,18,18,62,41
2023,02,09,14,33,88,31,48,90
2023,02,10,17,93,51,5,83,37
2023,02,11,70,14,47,42,53,88
2023,02,12,11,6,9,81,14,5
2023,02,13,21,94,44,4,78,54
2023,02,14,98,18,69,36,79,40
2023,02,15,39,27,71,86,23,6
2023,02,16,66,92,68,70,3,34
2023,02,17,3,94,45,25,1,85
2023,02,18,39,25,93,12,60,14
2023,02,19,62,27,39,37,23,14
2023,02,20,33,96,8,46,47,82
2023,02,21,99,24,15,54,10,2
2023,02,22,49,85,72,73,88,50
2023,02,23,6,89,1,43,62,99
2023,02,24,62,55,71,47,60,40
2023,02,25,38,29,24,6,12,81
2023,02,26,1,75,23,77,91,68
2023,02,27,83,12,89,31,74,72
2023,02,28,52,2,45,27,17,41
2023,02,29,78,92,100,12,7,89
2023,02,30,27,16,90,58,7,6
2023,03,01,89,18,55,14,78,8
2023,03,02,17,59,4,42,59,75
2023,03,03,66,96,5,9,19,4
2023,03,04,24,60,14,49,21,97
2023,03,05,63,65,37,23,50,89
2023,03,06,88,83,49,66,30,83
2023,03,07,91,33,24,66,2,84
2023,03,08,66,76,34,51,100,13
2023,03,09,5,61,22,10,17,28
2023,03,10,29,38,11,29,98,24
2023,03,11,52,67,41,50,70,59
2023,03,12,14,1,66,83,51,91
2023,03,13,74,14,53,58,49,12
2023,03,14,77,29,65,54,38,4
2023,03,15,63,8,32,97,76,70
2023,03,16,7,14,18,54,2,78
2023,03,17,76,31,22,48,6,12
2023,03,18,35,44,74,92,36,37
2023,03,19,33,1,10,29,75,63
2023,03,20,90,6,25,73,72,2
2023,03,21,33,100,32,53,4,32
2023,03,22,84,91,15,83,90,30
2023,03,23,3,63,63,91,24,76
2023,03,24,37,2,55,11,61,34
2023,03,25,53,28,59,61,24,25
2023,03,26,22,14,17,88,100,88
2023,03,27,69,58,63,79,81,91
2023,03,28,75,36,53,41,3,57
2023,03,29,63,42,32,57,15,25
2023,03,30,1,25,43,20,9,59
2023,04,01,6,91,20,32,72,41
2023,04,02,88,84,51,68,86,88
2023,04,03,91,44,54,58,76,91
2023,04,04,43,4,20,35,28,99
2023,04,05,55,78,37,2,57,6
2023,04,06,47,52,12,26,16,27
2023,04,07,74,44,29,54,96,91
2023,04,08,23,43,58,9,25,29
2023,04,09,41,86,96,7,40,1
2023,04,10,85,30,57,77,65,4
2023,04,11,100,62,68,52,46,45
2023,04,12,51,90,68,91,55,55
2023,04,13,17,87,65,53,95,78
2023,04,14,75,95,15,34,13,62
2023,04,15,94,59,97,23,40,57
2023,04,16,66,21,38,12,48,65
2023,04,17,75,95,15,81,54,85
2023,04,18,40,3,63,33,44,83
2023,04,19,73,9,22,27,41,3
2023,04,20,60,35,71,57,46,43
2023,04,21,6,59,48,23,80,31
2023,04,22,79,33,25,43,9,16
2023,04,23,45,19,62,10,67,7
2023,04,24,76,99,16,75,84,90
2023,04,25,41,98,82,37,71,8
2023,04,26,28,99,3,56,4,49
2023,04,27,100,73,80,62,41,18
2023,04,28,80,25,67,77,56,80
2023,04,29,69,16,41,87,93,13
2023,04,30,3,31,53,6,87,5
2023,05,01,17,56,90,87,96,10
2023,05,02,4,38,34,64,56,19
2023,05,03,19,84,30,78,61,100
2023,05,04,6,50,18,34,1,10
2023,05,05,89,4,42,34,62,65
2023,05,06,52,24,23,28,14,36
2023,05,07,66,51,49,43,17,27
2023,05,08,73,40,4,54,91,100
2023,05,09,45,68,86,71,42,11
2023,05,10,53,82,67,26,54,40
2023,05,11,75,48,52,64,74,68
2023,05,12,25,97,78,19,56,51
2023,05,13,7,90,30,39,8,81
2023,05,14,94,75,44,6,46,66
2023,05,15,68,2,43,95,33,51
2023,05,16,27,27,40,40,80,27
2023,05,17,66,63,11,46,34,42
2023,05,18,62,71,40,65,51,14
2023,05,19,93,19,32,76,6,58
2023,05,20,96,31,73,7,54,45
2023,05,21,98,6,19,65,51,78
2023,05,22,11,88,86,92,83,85
2023,05,23,14,56,67,31,58,91
2023,05,24,92,44,65,63,53,19
2023,05,25,98,8,65,26,7,56
2023,05,26,32,89,86,43,44,77
2023,05,27,89,52,3,31,18,61
2023,05,28,37,25,84,19,68,75
2023,05,29,11,26,20,56,64,2
2023,05,30,88,99,33,57,83,19
2023,06,01,68,30,92,89,82,29
2023,06,02,54,72,99,80,14,87
2023,06,03,29,65,25,35,9,94
2023,06,04,8,43,63,80,79,25
2023,06,05,17,97,36,2,14,83
2023,06,06,58,29,52,66,84,50
2023,06,07,44,1,63,14,20,48
2023,06,08,78,7,14,18,78,21
2023,06,09,80,86,31,90,27,6
2023,06,10,72,94,48,4,24,43
2023,06,11,90,81,54,62,19,9
2023,06,12,36,50,27,82,66,86
2023,06,13,4,97,68,97,73,23
2023,06,14,3,31,97,20,16,100
2023,06,15,11,21,12,68,56,99
2023,06,16,58,84,55,98,94,10
2023,06,17,64,19,52,52,72,10
2023,06,18,67,28,61,17,31,95
2023,06,19,4,95,42,38,6,35
2023,06,20,98,87,41,19,93,48
2023,06,21,98,67,33,45,62,2
2023,06,22,70,91,89,54,55,7
2023,06,23,29,27,70,75,84,87
2023,06,24,8,13,20,8,21,46
2023,06,25,6,76,51,84,63,57
2023,06,26,14,85,34,29,12,94
2023,06,27,93,29,86,53,23,29
2023,06,28,53,81,51,34,53,22
2023,06,29,11,62,78,93,1,92
2023,06,30,60,41,16,88,52,73
2023,07,01,12,81,76,21,73,35
2023,07,02,73,3,4,76,58,72
2023,07,03,92,26,58,29,84,92
2023,07,04,35,55,43,29,47,5
2023,07,05,15,52,70,19,56,51
2023,07,06,92,6,98,87,36,76
2023,07,07,84,18,98,88,79,6
2023,07,08,92,76,15,69,22,8
2023,07,09,3,97,11,92,90,80
2023,07,10,68,72,59,2,87,86
2023,07,11,47,83,83,39,33,51
2023,07,12,91,68,56,61,76,28
2023,07,13,95,33,87,76,78,95
2023,07,14,36,53,82,12,69,46
2023,07,15,4,90,1,91,27,78
2023,07,16,5,30,69,45,44,95
2023,07,17,17,30,42,56,87,96
2023,07,18,20,17,49,97,86,53
2023,07,19,64,83,45,21,67,68
2023,07,20,65,38,60,11,59,21
2023,07,21,77,47,36,29,31,46
2023,07,22,44,100,62,50,97,10
2023,07,23,2,100,45,74,37,31
2023,07,24,23,52,23,15,9,40
2023,07,25,28,87,58,52,28,73
2023,07,26,65,26,40,53,96,13
2023,07,27,70,72,57,32,15,22
2023,07,28,86,61,33,16,37,26
2023,07,29,95,3,47,8,63,48
2023,07,30,28,40,31,61,25,90
2023,08,01,77,27,70,93,7,64
2023,08,02,43,38,14,53,13,83
2023,08,03,27,6,16,51,45,43
2023,08,04,56,8,38,40,84,47
2023,08,05,6,99,53,43,60,39
2023,08,06,27,82,5,55,7,60
2023,08,07,45,44,57,85,84,1
2023,08,08,29,74,1,12,9,67
2023,08,09,67,40,83,16,61,76
2023,08,10,98,10,17,33,30,42
2023,08,11,28,53,63,9,33,60
2023,08,12,34,74,24,6,73,63
2023,08,13,49,36,16,88,6,2
2023,08,14,44,56,6,97,37,23
2023,08,15,11,87,73,39,93,31
2023,08,16,35,46,67,85,50,35
2023,08,17,98,58,76,76,3,28
2023,08,18,81,68,96,4,85,91
2023,08,19,99,54,37,70,97,23
2023,08,20,7,55,40,80,65,51
2023,08,21,55,38,44,58,98,100
2023,08,22,93,53,64,43,53,100
2023,08,23,74,91,30,78,10,48
2023,08,24,86,68,42,38,69,91
2023,08,25,33,9,66,33,33,18
2023,08,26,100,51,59,25,48,75
2023,08,27,97,11,29,53,70,84
2023,08,28,9,56,43,9,86,11
2023,08,29,85,27,90,45,89,26
2023,08,30,30,43,75,44,83,16
2023,09,01,18,30,82,55,99,100
2023,09,02,59,73,60,92,25,82
2023,09,03,92,24,89,91,70,5
2023,09,04,23,81,81,42,76,100
2023,09,05,19,37,9,14,84,59
2023,09,06,82,58,20,77,24,70
2023,09,07,69,86,36,96,6,22
2023,09,08,12,88,26,92,46,98
2023,09,09,14,19,46,73,56,14
2023,09,10,64,57,17,33,94,68
2023,09,11,50,27,22,99,90,63
2023,09,12,47,37,21,99,17,94
2023,09,13,34,14,82,86,82,64
2023,09,14,82,5,20,69,68,93
2023,09,15,48,25,22,31,48,2
2023,09,16,96,30,91,45,67,81
2023,09,17,91,57,10,28,99,27
2023,09,18,29,50,3,1,33,87
2023,09,19,60,50,19,73,48,20
2023,09,20,76,43,18,31,57,49
2023,09,21,97,3,16,41,25,26
2023,09,22,29,56,86,12,100,46
2023,09,23,44,66,46,16,52,12
2023,09,24,44,35,73,64,19,53
2023,09,25,43,8,78,19,3,47
2023,09,26,90,2,98,5,7,88
2023,09,27,78,79,49,92,89,58
2023,09,28,44,17,42,62,60,61
2023,09,29,20,47,48,99,98,23
2023,09,30,96,29,86,49,17,60
2023,10,01,21,22,35,53,75,33
2023,10,02,50,85,44,54,4,67
2023,10,03,2,16,79,20,38,28
2023,10,04,32,27,26,31,87,29
2023,10,05,28,56,67,44,71,15
2023,10,06,52,85,75,42,52,61
2023,10,07,2,82,56,56,45,60
2023,10,08,12,38,37,78,54,47
2023,10,09,69,89,72,9,14,60
2023,10,10,73,87,99,9,90,35
2023,10,11,62,2,20,4,66,43
2023,10,12,38,11,78,49,32,41
2023,10,13,83,98,57,34,20,81
2023,10,14,59,16,99,92,63,73
2023,10,15,41,68,77,89,43,30
2023,10,16,49,78,55,5,68,54
2023,10,17,3,23,24,11,66,19
2023,10,18,58,81,32,36,96,68
2023,10,19,23,99,68,71,85,35
2023,10,20,66,74,37,5,45,56
2023,10,21,1,91,20,29,98,11
2023,10,22,33,65,24,43,56,88
2023,10,23,7,88,93,73,67,90
2023,10,24,17,14,50,79,42,87
2023,10,25,53,19,96,84,81,84
2023,10,26,9,16,27,78,91,26
2023,10,27,63,75,39,9,9,11
2023,10,28,39,31,97,10,67,23
2023,10,29,72,34,5,3,35,12
2023,10,30,59,19,4,11,79,37
2023,11,01,14,2,42,5,81,84
2023,11,02,32,95,22,48,56,91
2023,11,03,18,44,41,73,92,44
2023,11,04,98,7,52,81,40,12
2023,11,05,68,70,63,52,27,64
2023,11,06,90,91,6,98,55,87
2023,11,07,50,83,80,67,44,3
2023,11,08,84,58,7,64,3,83
2023,11,09,3,66,17,60,18,28
2023,11,10,47,90,82,25,52,79
2023,11,11,42,84,52,5,8,31
2023,11,12,31,90,45,15,80,38
2023,11,13,49,14,72,37,40,3
2023,11,14,90,29,73,62,8,79
2023,11,15,3,54,18,28,37,72
2023,11,16,50,31,29,70,62,50
2023,11,17,59,63,4,25,34,81
2023,11,18,33,97,30,54,66,81
2023,11,19,18,1,9,97,92,29
2023,11,20,96,82,56,45,8,21
2023,11,21,71,24,28,17,29,70
2023,11,22,36,93,5,92,91,51
2023,11,23,61,1,46,54,92,49
2023,11,24,21,93,88,86,5,70
2023,11,25,54,99,43,65,77,15
2023,11,26,25,26,95,98,89,34
2023,11,27,98,55,31,2,77,71
2023,11,28,77,27,74,63,46,92
2023,11,29,76,72,69,48,80,70
2023,11,30,97,19,66,6,86,26
2023,12,01,22,90,62,7,6,85
2023,12,02,55,17,36,27,75,45
2023,12,03,56,11,63,9,68,90
2023,12,04,35,71,36,56,51,35
2023,12,05,84,31,77,37,34,78
2023,12,06,6,89,56,89,71,92
2023,12,07,81,4,19,59,77,66
2023,12,08,89,42,44,100,3,6
2023,12,09,83,31,6,32,46,91
2023,12,10,42,91,4,66,61,67
2023,12,11,26,12,9,26,70,67
2023,12,12,9,4,7,36,74,59
2023,12,13,83,5,35,68,1,40
2023,12,14,91,67,56,73,88,41
2023,12,15,98,59,59,95,55,73
2023,12,16,17,85,15,96,51,10
2023,12,17,98,71,2,46,4,35
2023,12,18,80,50,25,3,61,22
2023,12,19,82,42,41,23,42,48
2023,12,20,81,76,84,62,32,30
2023,12,21,51,24,16,5,81,69
2023,12,22,84,51,72,31,8,4
2023,12,23,71,92,64,46,62,85
2023,12,24,37,97,66,86,55,2
2023,12,25,11,61,30,24,44,57
2023,12,26,87,96,12,92,12,90
2023,12,27,49,32,51,91,49,63
2023,12,28,45,52,50,6,67,18
2023,12,29,35,98,81,2,21,69
2023,12,30,6,58,30,90,15,62
