Year,Month,Day,0,1,2,3,4,5
2023,01,01,84,97,59,19,24,45
2023,01,02,20,57,6,10,22,87
2023,01,03,5,21,44,48,63,17
2023,01,04,48,76,50,13,56,24
2023,01,05,51,41,37,81,96,77
2023,01,06,20,51,96,5,47,90
2023,01,07,98,62,64,32,31,59
2023,01,08,93,26,86,92,96,81
2023,01,09,13,31,28,9,20,13
2023,01,10,67,36,50,63,12,38
2023,01,11,58,57,10,90,22,11
2023,01,12,66,22,7,69,31,80
2023,01,13,33,99,57,31,1,59
2023,01,14,64,70,55,94,32,32
2023,01,15,76,22,36,75,83,33
2023,01,16,13,84,3,28,57,9
2023,01,17,100,41,49,52,25,83
2023,01,18,87,96,81,79,93,25
2023,01,19,70,78,44,37,40,59
2023,01,20,23,82,76,83,30,99
2023,01,21,9,49,44,62,66,92
2023,01,22,68,14,51,49,33,43
2023,01,23,98,13,26,11,87,26
2023,01,24,56,67,47,48,45,33
2023,01,25,70,89,86,41,90,8
2023,01,26,86,82,97,85,53,27
2023,01,27,58,57,32,38,31,29
2023,01,28,50,66,58,57,78,40
2023,01,29,15,3,80,11,70,20
2023,01,30,92,75,51,98,90,5
2023,02,01,34,56,91,12,53,30
2023,02,02,73,71,3,23,50,15
2023,02,03,2,62,28,41,46,85
2023,02,04,63,69,6,61,54,77
2023,02,05,27,7,1,41,38,100
2023,02,06,18,3,69,14,99,78
2023,02,07,83,42,35,65,45,10
2023,02,08,72,40,32,60,96,58
2023,02,09,65,11,25,21,18,51
2023,02,10,93,31,21,1,20,21
2023,02,11,64,4,55,91,64,59
2023,02,12,50,49,25,86,12,45
2023,02,13,32,17,92,15,49,66
2023,02,14,51,18,38,27,74,9
2023,02,15,14,69,88,23,24,78
2023,02,16,54,19,32,82,67,63
2023,02,17,43,40,56,39,21,20
2023,02,18,59,87,64,21,37,61
2023,02,19,46,10,16,10,17,48
2023,02,20,35,67,42,6,6,16
2023,02,21,33,34,94,47,90,93
2023,02,22,69,11,50,76,26,16
2023,02,23,61,78,15,27,76,79
2023,02,24,100,9,74,30,6,18
2023,02,25,39,48,69,37,51,57
2023,02,26,28,77,26,83,29,56
2023,02,27,5,53,32,67,90,42
2023,02,28,87,96,66,14,49,42
2023,02,29,63,99,20,22,60,44
2023,02,30,97,40,7,70,8,83
2023,03,01,49,77,19,98,68,65
2023,03,02,65,64,11,80,36,11
2023,03,03,2,44,56,7,82,82
2023,03,04,13,84,2,43,47,14
2023,03,05,26,60,99,12,16,57
2023,03,06,49,70,66,71,47,65
2023,03,07,97,48,67,53,12,66
2023,03,08,83,51,43,1,77,40
2023,03,09,60,99,16,38,48,38
2023,03,10,59,39,5,22,91,63
2023,03,11,72,49,30,40,13,37
2023,03,12,64,12,63,79,78,77
2023,03,13,92,88,30,68,84,64
2023,03,14,46,93,70,68,76,84
2023,03,15,35,95,7,52,46,66
2023,03,16,94,66,2,21,11,2
2023,03,17,6,57,100,46,84,96
2023,03,18,61,10,72,93,79,2
2023,03,19,7,87,38,71,81,38
2023,03,20,21,74,81,75,1,71
2023,03,21,18,81,90,50,57,54
2023,03,22,48,46,66,95,97,50
2023,03,23,11,69,50,49,62,2
2023,03,24,84,77,96,1,30,68
2023,03,25,18,98,48,39,89,63
2023,03,26,81,34,57,57,81,44
2023,03,27,88,5,80,21,40,42
2023,03,28,67,86,10,42,70,56
2023,03,29,6,79,80,47,81,57
2023,03,30,60,73,18,83,18,46
2023,04,01,58,28,97,57,91,46
2023,04,02,81,77,78,59,61,82
2023,04,03,82,48,3,70,41,69
2023,04,04,21,61,79,42,97,2
2023,04,05,29,60,38,35,7,72
2023,04,06,97,88,82,41,70,30
2023,04,07,81,67,57,57,61,72
2023,04,08,28,51,9,31,48,82
2023,04,09,86,62,3,47,33,48
2023,04,10,25,72,82,41,8,31
2023,04,11,53,40,66,20,47,41
2023,04,12,97,96,22,29,45,31
2023,04,13,77,30,94,89,75,48
2023,04,14,50,3,88,38,60,47
2023,04,15,12,83,24,28,76,77
2023,04,16,92,11,39,80,12,55
2023,04,17,60,91,28,11,63,59
2023,04,18,23,43,47,15,87,9
2023,04,19,3,77,15,16,84,32
2023,04,20,92,96,16,45,84,87
2023,04,21,41,57,78,99,9,94
2023,04,22,6,73,55,33,21,59
2023,04,23,21,16,72,14,12,18
2023,04,24,56,10,23,21,18,15
2023,04,25,9,26,54,83,84,63
2023,04,26,80,74,53,43,84,16
2023,04,27,42,27,90,70,7,6
2023,04,28,91,50,27,61,28,22
2023,04,29,65,21,37,27,19,70
2023,04,30,52,66,8,36,20,65
2023,05,01,89,83,34,20,66,54
2023,05,02,12,97,86,4,98,28
2023,05,03,89,49,14,4,62,90
2023,05,04,48,14,14,6,50,90
2023,05,05,19,23,4,14,60,8
2023,05,06,69,82,10,23,60,23
2023,05,07,81,61,46,48,26,39
2023,05,08,52,99,20,81,96,59
2023,05,09,14,99,33,74,68,24
2023,05,10,84,58,5,2,42,74
2023,05,11,84,15,45,33,11,92
2023,05,12,91,81,87,14,11,21
2023,05,13,12,51,74,53,92,5
2023,05,14,19,27,10,26,91,23
2023,05,15,100,5,20,92,38,73
2023,05,16,98,84,83,10,47,30
2023,05,17,47,75,38,93,65,71
2023,05,18,76,23,60,30,25,13
2023,05,19,15,100,14,86,73,100
2023,05,20,98,9,15,41,53,22
2023,05,21,1,25,49,30,80,49
2023,05,22,58,61,11,39,83,93
2023,05,23,78,95,92,69,96,94
2023,05,24,2,43,43,40,20,51
2023,05,25,12,43,77,41,56,8
2023,05,26,31,17,61,27,78,1
2023,05,27,14,38,80,79,42,14
2023,05,28,64,38,11,61,46,7
2023,05,29,74,21,61,40,59,71
2023,05,30,6,91,19,38,56,39
2023,06,01,85,66,9,23,19,48
2023,06,02,17,57,51,63,68,98
2023,06,03,81,89,11,29,8,14
2023,06,04,98,75,32,36,92,35
2023,06,05,13,50,18,96,68,88
2023,06,06,29,46,7,51,18,29
2023,06,07,32,54,71,63,16,69
2023,06,08,3,65,22,11,55,3
2023,06,09,86,59,2,57,83,80
2023,06,10,18,45,77,48,50,13
