Year,Month,Day,0,1,2,3,4,5
2023,01,01,51,56,83,99,84,47
2023,01,02,7,38,69,79,89,1
2023,01,03,93,65,43,69,99,72
2023,01,04,66,54,85,1,48,51
2023,01,05,69,100,82,93,29,36
2023,01,06,43,99,80,50,13,41
2023,01,07,10,26,7,25,58,65
2023,01,08,9,30,13,27,39,29
2023,01,09,77,32,72,79,71,92
2023,01,10,59,33,42,46,19,89
2023,01,11,60,83,82,29,85,31
2023,01,12,40,81,58,19,10,38
2023,01,13,76,47,53,40,21,44
2023,01,14,52,55,79,3,75,26
2023,01,15,41,27,95,14,36,50
2023,01,16,63,61,12,15,48,5
2023,01,17,79,58,63,33,43,33
2023,01,18,29,10,80,56,20,72
2023,01,19,41,9,60,93,10,90
2023,01,20,72,7,38,11,72,45
2023,01,21,73,43,3,85,4,81
2023,01,22,98,96,75,84,45,88
2023,01,23,72,74,3,91,51,17
2023,01,24,60,62,95,7,52,59
2023,01,25,72,87,1,89,67,72
2023,01,26,41,5,21,97,47,6
2023,01,27,25,95,53,5,58,48
2023,01,28,62,71,21,62,25,60
2023,01,29,94,83,58,11,35,84
2023,01,30,41,60,3,91,3,91
2023,02,01,1,55,45,82,51,86
2023,02,02,9,90,58,97,56,9
2023,02,03,81,13,46,54,37,21
2023,02,04,27,23,91,51,36,54
2023,02,05,86,82,77,16,37,78
2023,02,06,38,85,3,73,74,61
2023,02,07,14,76,10,81,72,8
2023,02,08,43,22,5,27,6,97
2023,02,09,90,42,61,19,64,55
2023,02,10,86,19,61,6,26,78
2023,02,11,33,46,53,96,37,85
2023,02,12,6,50,34,59,1,75
2023,02,13,56,79,2,25,90,34
2023,02,14,12,11,56,4,67,26
2023,02,15,66,48,56,69,98,72
2023,02,16,44,86,50,98,12,90
2023,02,17,99,13,65,53,92,34
2023,02,18,100,69,63,46,47,94
2023,02,19,24,47,1,60,89,32
2023,02,20,23,52,21,14,87,16
2023,02,21,15,39,48,52,69,27
2023,02,22,93,41,62,17,79,96
2023,02,23,71,72,12,1,95,81
2023,02,24,25,95,89,92,27,100
2023,02,25,14,56,22,83,99,67
2023,02,26,47,13,93,98,43,19
2023,02,27,66,3,27,11,82,84
2023,02,28,22,36,81,33,95,36
2023,02,29,49,94,52,50,30,57
2023,02,30,75,5,95,80,89,5
2023,03,01,38,61,79,84,98,53
2023,03,02,17,29,98,5,48,66
2023,03,03,45,50,36,52,27,58
2023,03,04,30,78,15,100,75,27
2023,03,05,30,86,47,43,57,24
2023,03,06,96,28,22,44,87,88
2023,03,07,70,90,19,85,91,68
2023,03,08,18,66,53,58,27,19
2023,03,09,53,50,68,83,29,92
2023,03,10,79,57,41,69,100,61
2023,03,11,78,43,61,1,65,82
2023,03,12,28,81,50,30,21,36
2023,03,13,9,39,74,12,40,45
2023,03,14,3,18,65,64,18,4
2023,03,15,23,28,88,48,13,89
2023,03,16,25,63,60,90,68,19
2023,03,17,75,15,45,26,71,69
2023,03,18,5,90,97,78,5,80
2023,03,19,83,87,49,99,74,47
2023,03,20,57,13,87,68,2,26
2023,03,21,35,56,81,89,5,75
2023,03,22,29,72,14,46,19,94
2023,03,23,20,76,44,88,50,73
2023,03,24,17,66,10,18,76,23
2023,03,25,20,84,13,3,24,73
2023,03,26,60,57,33,31,63,58
2023,03,27,97,81,62,27,20,8
2023,03,28,10,49,68,5,37,71
2023,03,29,60,54,88,33,91,67
2023,03,30,41,20,37,17,8,67
2023,04,01,40,88,47,66,53,70
2023,04,02,48,43,20,42,66,36
2023,04,03,17,62,27,23,7,57
2023,04,04,92,53,80,26,37,27
2023,04,05,59,16,72,86,49,93
