Year,Month,Day,0,1,2,3,4,5
2023,01,01,2,36,19,38,76,1
2023,01,02,3,83,81,31,53,6
2023,01,03,69,34,45,1,7,2
2023,01,04,54,85,56,21,7,48
2023,01,05,99,4,98,24,4,34
2023,01,06,1,25,30,31,67,22
2023,01,07,56,19,98,69,84,91
2023,01,08,3,80,17,94,10,91
2023,01,09,22,34,3,94,39,60
2023,01,10,92,1,33,9,84,4
2023,01,11,20,95,50,68,94,25
2023,01,12,55,6,26,12,29,69
2023,01,13,17,13,92,10,85,48
2023,01,14,34,99,64,65,75,39
2023,01,15,58,39,19,45,45,84
2023,01,16,68,68,59,91,79,59
2023,01,17,74,51,36,57,13,17
2023,01,18,95,86,48,10,58,12
2023,01,19,78,66,100,75,57,78
2023,01,20,15,12,8,90,74,83
2023,01,21,45,10,71,71,3,11
2023,01,22,99,91,18,48,22,5
2023,01,23,41,36,25,95,14,61
2023,01,24,99,78,1,48,31,20
2023,01,25,4,34,58,2,34,37
2023,01,26,94,84,43,39,52,72
2023,01,27,59,69,96,50,24,84
2023,01,28,98,57,19,26,82,21
2023,01,29,12,29,45,20,76,98
2023,01,30,49,49,77,30,68,76
2023,02,01,54,23,71,14,27,41
2023,02,02,43,98,45,15,29,69
2023,02,03,11,84,97,44,13,10
2023,02,04,33,35,24,5,31,59
2023,02,05,17,100,82,26,25,93
2023,02,06,13,14,9,75,65,78
2023,02,07,93,27,82,56,48,97
2023,02,08,69,36,86,75,38,28
2023,02,09,89,8,23,92,16,51
2023,02,10,16,41,51,9,63,4
2023,02,11,4,86,100,28,58,52
2023,02,12,70,54,6,50,53,88
2023,02,13,29,13,78,51,99,86
2023,02,14,78,2,60,52,65,56
2023,02,15,86,6,64,51,87,98
2023,02,16,53,86,8,3,88,96
2023,02,17,45,2,14,35,73,44
2023,02,18,26,10,55,7,58,72
2023,02,19,88,25,72,32,34,12
2023,02,20,83,44,79,81,57,55
2023,02,21,97,83,18,93,31,37
2023,02,22,66,89,99,37,82,67
2023,02,23,22,41,98,82,31,53
2023,02,24,97,34,39,91,98,73
2023,02,25,56,100,57,27,51,39
2023,02,26,56,11,50,72,67,91
2023,02,27,69,49,18,4,32,19
2023,02,28,58,5,25,30,62,71
2023,02,29,53,68,33,71,25,88
2023,02,30,87,28,63,3,32,90
2023,03,01,51,61,70,33,67,79
2023,03,02,19,47,78,81,96,26
2023,03,03,41,73,60,6,70,75
